['SKBJW', 'IKHTD', 'SPHAJ', 'LPHWP', 'JCOPI']
['FXFUX', 'IGUWL', 'UFVEC', 'GUDYJ', 'KQUJH']
['NSDMC', 'CIUZU', 'BJTHH', 'RWZXF', 'JMYIA']
['PVVAV', 'FXUHH', 'QECFT', 'ZPTPS', 'XEEVL']
['KXUES', 'OKPQW', 'WAQDW', 'GVYUW', 'TBPZM']
['SGTRH', 'WUTXG', 'DSUJE', 'QGXZJ', 'PKHDM']
['RFWKF', 'EOCJX', 'ZHVLK', 'VSPLU', 'QBZQQ']
['EHMWV', 'VFFHE', 'RMUXW', 'DVLFX', 'GICKM']
['ABYHN', 'IAMKK', 'FJPVZ', 'ALXRH', 'HGJEC']
['CFMPM', 'PLFWC', 'FEUEQ', 'WNYYG', 'LNIAF']
['LVBGW', 'PXCKJ', 'GNCHO', 'TTIDN', 'NWAHL']
['OUQMM', 'CBJEL', 'QNUDR', 'JQBSO', 'RMJIF']
['GEQFC', 'TLZCG', 'OZZTI', 'LBKGE', 'DSQUZ']
['CPJBS', 'QAOAR', 'EADHZ', 'ZNMAJ', 'VNVFZ']
['CKHRK', 'OTQON', 'SGXHX', 'TKJBK', 'QQXNO']
['HATBR', 'RCZHM', 'QYLAH', 'IAADS', 'TYMOI']
