['Ava', 'Alana', 'Carmen', 'Liliana', 'Clara', 'Alanna', 'Angie', 'Carrie', 'Shyanne', 'Eve']
['Serena', 'April', 'Tia', 'Krista', 'Janet', 'Carissa', 'Alayna', 'Maddison', 'Felicity', 'Alina']
['Jordyn', 'Amaya', 'Maggie', 'Kyra', 'Cierra', 'Kyla', 'Madeleine', 'Cecilia', 'Jayda', 'Phoebe']
['Angelina', 'Karina', 'Sophie', 'Alexia', 'Raven', 'Kristina', 'Valeria', 'Brandi', 'Viviana', 'Adrienne']
['Claire', 'Kelsey', 'Alexandria', 'Leah', 'Katie', 'Cassandra', 'Evelyn', 'Camryn', 'Natalia', 'Colleen']
['Mary', 'Gabrielle', 'Sierra', 'Hayley', 'Michaela', 'Carlie', 'Nora', 'Marilyn', 'Macey', 'Luz']
['Maya', 'Deanna', 'Wendy', 'Tabitha', 'Paola', 'Lucy', 'Gillian', 'Clarissa', 'Daniella', 'Tyler']
['Sara', 'Lauryn', 'Katrina', 'Jazmine', 'Guadalupe', 'Nadia', 'Dominique', 'Jayla', 'Tori', 'Renee']
['Monique', 'Carley', 'Tyra', 'Kaylin', 'Tania', 'Alyson', 'Cora', 'Elisa', 'Devin', 'Cristal']
['Sabrina', 'Audrey', 'Naomi', 'Haylee', 'Cindy', 'Ciara', 'Cara', 'Lilly', 'Aurora', 'Alma']
['Gabriella', 'Tiffany', 'Erica', 'Bethany', 'Bianca', 'Makenzie', 'Karla', 'Kathleen', 'Halle', 'Elaina']
['Valerie', 'Monica', 'Avery', 'Brooklyn', 'Destinee', 'Denise', 'Kamryn', 'Helen', 'Lacey', 'Ayanna']
['Laura', 'Leslie', 'Diana', 'Hanna', 'Ashlyn', 'Desiree', 'Alondra', 'Allie', 'Mayra', 'Brisa']
['Caitlin', 'Zoe', 'Savanna', 'Ashleigh', 'Baylee', 'Ruth', 'Marina', 'Ivy', 'Kasey', 'Pamela']
['Cheyenne', 'Lindsey', 'Arianna', 'Crystal', 'Paulina', 'Zaria', 'Emilie', 'Felicia', 'Chyna', 'Regina']
['Alexa', 'Kathryn', 'Mia', 'Ana', 'Mya', 'Charity', 'Annabelle', 'Sasha', 'Tianna', 'Jayden']
['Brooke', 'Christina', 'Molly', 'Riley', 'Brittney', 'Carly', 'Alejandra', 'Piper', 'Tayler', 'Kaley']
['Kaylee', 'Jade', 'Kendra', 'Giselle', 'Annie', 'Callie', 'Krystal', 'Cassie', 'Heidi', 'Annika']
['Kimberly', 'Isabel', 'Brenda', 'Elisabeth', 'India', 'Yasmine', 'Sharon', 'Alice', 'Precious', 'Lexi']
