['3', '11', '27', '50', '87', '94', '105', '121', '186', '203', '208', '306', '307', '319', '320', '328', '333', '356', '458', '480', '486', '507', '520', '546', '552', '568', '641', '652', '686', '699', '759', '803', '834', '850', '902', '920', '925', '945', '976', '981']
['8', '30', '92', '96', '107', '122', '138', '164', '194', '207', '245', '248', '252', '268', '321', '342', '377', '387', '452', '470', '492', '516', '598', '615', '625', '637', '651', '679', '704', '713', '772', '778', '779', '817', '862', '867', '869', '884', '955', '966']
['28', '49', '51', '77', '130', '168', '176', '183', '256', '262', '270', '276', '331', '338', '353', '395', '427', '462', '465', '468', '475', '485', '493', '515', '574', '596', '619', '724', '755', '757', '760', '762', '771', '808', '875', '883', '887', '951', '965', '994']
['7', '43', '76', '116', '131', '193', '205', '242', '267', '280', '317', '351', '352', '358', '374', '388', '399', '408', '414', '432', '433', '454', '469', '522', '523', '628', '630', '731', '752', '764', '783', '813', '844', '847', '870', '882', '900', '908', '915', '942']
['29', '67', '89', '177', '181', '187', '217', '244', '255', '260', '316', '330', '467', '482', '521', '537', '556', '580', '606', '624', '634', '639', '653', '656', '658', '660', '670', '717', '727', '735', '738', '750', '768', '790', '796', '845', '889', '917', '924', '936']
['9', '25', '63', '74', '88', '95', '111', '112', '140', '162', '197', '218', '228', '247', '295', '325', '364', '422', '440', '446', '471', '559', '563', '566', '673', '743', '758', '787', '819', '832', '848', '853', '916', '928', '930', '931', '948', '957', '959', '991']
['19', '44', '59', '97', '143', '149', '189', '216', '223', '259', '274', '288', '394', '396', '406', '415', '419', '479', '498', '526', '529', '551', '561', '586', '600', '646', '701', '715', '726', '736', '749', '767', '786', '797', '805', '860', '894', '919', '971', '986']
['2', '38', '39', '46', '53', '85', '120', '174', '195', '219', '222', '278', '282', '305', '323', '334', '350', '372', '392', '445', '472', '538', '541', '565', '576', '591', '597', '662', '698', '722', '754', '761', '782', '793', '826', '852', '863', '905', '946', '990']
['47', '48', '55', '62', '90', '101', '110', '119', '150', '190', '261', '284', '300', '303', '315', '354', '376', '397', '525', '571', '604', '608', '621', '635', '655', '669', '693', '714', '780', '806', '810', '823', '836', '846', '854', '857', '861', '891', '910', '998']
['37', '54', '133', '139', '154', '159', '169', '211', '224', '257', '266', '294', '314', '335', '340', '378', '426', '460', '463', '464', '466', '483', '501', '510', '548', '553', '557', '601', '629', '671', '718', '720', '763', '812', '833', '896', '935', '940', '969', '999']
['23', '68', '93', '155', '158', '161', '178', '279', '332', '344', '379', '380', '400', '420', '430', '442', '570', '590', '602', '614', '633', '645', '680', '696', '739', '756', '798', '856', '872', '876', '890', '892', '895', '897', '909', '954', '978', '979', '988', '989']
