['G58', 'E98', 'E109']
['A79', 'F79', 'F102']
['E38', 'H38', 'D57']
['A100', 'A115', 'C115']
['C46', 'D46', 'C47']
['A16', 'D16', 'A20']
['C52', 'D81', '48']
['B55', 'A63', 'F99']
['G55', 'A88', 'C88']
['E80', 'G80', 'D111']
['D51', 'E51', 'B82']
['B58', 'A65', 'B92']
['C22', 'D22', 'E61']
['G10', 'C31', 'D53']
['D82', 'H99', 'H100']
['E85', 'F85', 'H85']
['A90', 'D105', 'C106']
['B5', 'D5', 'F50']
['B17', 'D31', 'B59']
['C57', 'C105', '39']
['B68', 'G71', 'B104']
['G3', 'D6', 'D9']
['E65', 'E94', 'B99']
['G13', 'D14', 'B51']
['E29', 'G29', 'F67']
['G17', 'H45', 'G81']
['B7', 'D33', 'H43']
['A3', 'H105', 'C107']
['H13', 'A29', 'D79']
['11', '16', '31']
['H16', 'E44']
['A59', 'D59', 'E60']
['A80', 'F87', 'H110']
['H81', 'H82', 'D83']
['C35', 'D107', 'F111']
['F43', 'E105', 'F115']
['B37', 'E69', 'H69']
['B108', 'C108', 'D108']
['C91', 'D91', 'A114']
['C30', 'G34', 'F89']
['C12', 'E47', 'F47']
['E28', 'H28', 'H77']
['C25', 'E96', 'G96']
['B4', 'A36', 'B36']
['H21', 'E22', 'H22']
['E16', 'B19', 'H42']
['A27', 'E64', 'C84']
['F41', 'F62', 'F113']
['E54', 'H79', 'H80']
['B40', 'A85', 'G98']
['50', '60', '70']
['H60', 'E86', 'H86']
['C4', 'A112', 'C112']
['G43', 'G57', 'H109']
['E5', 'F5', 'A38']
['F25', 'F33', '52']
['8', '9', '42']
['C38', 'C41', 'B73']
['G83', 'E91', 'F91']
['G11', 'C19', 'E19']
['B48', 'D94', 'C109']
['H15', 'C60', 'C61']
['H34', 'F71', '20']
['A47', 'B47', 'C85']
['H46', 'B78', 'B96']
['C5', 'D24', 'H87']
['E11', 'A41', 'B86']
['D98', 'F105', 'H108']
['A19', 'D19', 'D35']
['D12', 'D112', 'E112']
['H23', 'G26', 'G63']
['G1', 'A11', 'G65']
['D41', 'F94', 'C95']
['C86', 'G86', 'D97']
['B18', 'C21', 'C32']
['A86', 'F86', 'H101']
['A51', 'A70', 'F70']
['H29', 'H30', 'A72']
['C9', 'H97', 'H98']
['B65', 'D65', 'E82']
['B6', 'C44', 'F46']
['B11', 'B35', 'G88']
['B3', 'H3', 'C113']
['G12', 'E46', 'H52']
['E37', 'H37', 'E66']
['E33', 'F57', 'B80']
['B61', 'F88', 'G100']
['F27', 'B28', 'D89']
['B39', 'B95', 'D101']
['H14', 'E49', 'E81']
['B16', 'A113', 'B113']
['G37', 'D95', 'C102']
['D60', 'E71', 'E90']
['C42', 'D42', 'F51']
['G53', 'D71', 'G73']
['G45', 'E88', 'H88']
['A37', 'H75', 'D85']
['F96', 'E111', 'G111']
['H73', 'E74', 'H74']
['10', '19', '23']
['A94', 'G103', 'H106']
['A17', 'C65', '28']
['D37', 'F55', 'F95']
['F7', 'C34', 'D34']
['G9', 'A48', 'D48']
['D74', 'E78', 'G78']
['A9', 'F9', 'G50']
['C18', 'D45', 'C99']
['G0', 'F64', 'C97']
['15', '43', '44']
['A107', 'F107', 'A108']
['C0', 'B27', 'D40']
['G14', 'B50', 'A52']
['F10', 'H17', 'B49']
['F29', 'G61', 'A96']
['C10', 'D10', 'G109']
['49', '59', '62']
['D30', 'C53', 'A105']
['B41', '57', '71']
['F8', 'H44', 'D76']
['D27', 'C33', 'A55']
['B25', 'D38', 'G84']
['A2', 'F2', 'F73']
['E39', 'H39', 'E56']
['D1', 'H93', 'H94']
['H67', 'H68', 'B111']
['H18', 'G36', 'A68']
['D75', 'E75', 'F110']
['B42', 'C66', 'G85']
['18', '34', '47']
['E9', 'G16', 'F72']
['C11', 'D11', 'F90']
['C28', 'D28', 'H91']
['F21', 'D102', 'G114']
['E7', 'G7', 'E31']
['A60', 'F60', 'B105']
['D104', 'E104', 'F104']
['C27', 'A50', 'C50']
['F44', 'C56', 'A82']
['G5', 'A92', 'C92']
['21', '32', '41']
['A23', 'C23', 'C43']
['B31', 'H92', 'G108']
['A15', 'E110', 'G110']
['F48', 'C59', 'G106']
['E6', 'C83', 'H111']
['A74', 'B74', 'C74']
