['a40', 'a213', 'a337', 'a391', 'a417', 'a422', 'a428', 'a431', 'a438', 'a525', 'a541', 'a543', 'a650', 'a776', 'a837']
['a23', 'a94', 'a343', 'a395', 'a412', 'a462', 'a480', 'a498', 'a532', 'a560', 'a655', 'a663', 'a671', 'a707', 'a751']
['a132', 'a140', 'a141', 'a322', 'a324', 'a376', 'a400', 'a420', 'a458', 'a572', 'a574', 'a677', 'a764', 'a788', 'a860']
['a19', 'a146', 'a167', 'a216', 'a249', 'a281', 'a398', 'a448', 'a472', 'a575', 'a701', 'a724', 'a786', 'a817', 'a866']
['a22', 'a51', 'a129', 'a230', 'a279', 'a285', 'a442', 'a475', 'a479', 'a508', 'a613', 'a633', 'a645', 'a715', 'a884']
['a21', 'a41', 'a88', 'a169', 'a198', 'a250', 'a399', 'a445', 'a607', 'a627', 'a692', 'a742', 'a765', 'a800', 'a888']
['a69', 'a101', 'a136', 'a151', 'a210', 'a232', 'a283', 'a373', 'a374', 'a410', 'a469', 'a523', 'a588', 'a659', 'a834']
['a54', 'a177', 'a187', 'a269', 'a286', 'a452', 'a536', 'a608', 'a630', 'a666', 'a773', 'a779', 'a812', 'a822', 'a845']
['a5', 'a72', 'a203', 'a255', 'a257', 'a329', 'a488', 'a502', 'a584', 'a587', 'a612', 'a629', 'a690', 'a775', 'a861']
['a53', 'a105', 'a321', 'a332', 'a434', 'a457', 'a497', 'a507', 'a547', 'a550', 'a567', 'a601', 'a729', 'a790', 'a889']
['a125', 'a134', 'a170', 'a195', 'a450', 'a451', 'a461', 'a486', 'a597', 'a689', 'a695', 'a752', 'a815', 'a841', 'a844']
['a52', 'a77', 'a194', 'a252', 'a364', 'a404', 'a424', 'a435', 'a552', 'a684', 'a704', 'a734', 'a760', 'a769', 'a852']
['a12', 'a63', 'a70', 'a75', 'a137', 'a258', 'a487', 'a501', 'a642', 'a750', 'a781', 'a793', 'a838', 'a877', 'a887']
['a80', 'a138', 'a174', 'a202', 'a219', 'a393', 'a429', 'a483', 'a511', 'a538', 'a656', 'a702', 'a749', 'a763', 'a785']
['a55', 'a89', 'a114', 'a117', 'a207', 'a266', 'a288', 'a352', 'a385', 'a439', 'a555', 'a563', 'a639', 'a726', 'a819']
['a142', 'a145', 'a171', 'a358', 'a366', 'a401', 'a425', 'a436', 'a557', 'a561', 'a579', 'a664', 'a727', 'a811', 'a867']
['a27', 'a32', 'a184', 'a190', 'a208', 'a242', 'a259', 'a278', 'a291', 'a292', 'a303', 'a464', 'a622', 'a634', 'a731']
['a30', 'a67', 'a81', 'a91', 'a97', 'a168', 'a212', 'a215', 'a247', 'a414', 'a419', 'a618', 'a637', 'a755', 'a849']
['a1', 'a25', 'a107', 'a234', 'a313', 'a323', 'a386', 'a568', 'a576', 'a586', 'a591', 'a596', 'a658', 'a681', 'a739']
['a59', 'a83', 'a193', 'a256', 'a312', 'a335', 'a468', 'a492', 'a600', 'a640', 'a676', 'a679', 'a741', 'a797', 'a875']
['a95', 'a156', 'a205', 'a233', 'a267', 'a325', 'a340', 'a347', 'a392', 'a482', 'a545', 'a632', 'a660', 'a730', 'a856']
['a28', 'a57', 'a153', 'a173', 'a316', 'a360', 'a529', 'a539', 'a598', 'a759', 'a803', 'a816', 'a865', 'a891', 'a900']
['a44', 'a221', 'a237', 'a272', 'a277', 'a363', 'a384', 'a416', 'a427', 'a489', 'a503', 'a510', 'a582', 'a641', 'a820']
['a13', 'a39', 'a74', 'a175', 'a180', 'a372', 'a418', 'a453', 'a505', 'a611', 'a653', 'a699', 'a711', 'a738', 'a808']
['a78', 'a84', 'a96', 'a118', 'a200', 'a214', 'a241', 'a287', 'a389', 'a455', 'a549', 'a602', 'a709', 'a828', 'a836']
['a8', 'a20', 'a35', 'a66', 'a90', 'a178', 'a311', 'a353', 'a362', 'a390', 'a535', 'a581', 'a614', 'a896', 'a897']
['a10', 'a71', 'a122', 'a239', 'a268', 'a330', 'a459', 'a518', 'a631', 'a638', 'a669', 'a705', 'a736', 'a744', 'a792']
['a43', 'a163', 'a164', 'a181', 'a225', 'a240', 'a341', 'a378', 'a454', 'a467', 'a496', 'a687', 'a780', 'a807', 'a880']
['a33', 'a110', 'a172', 'a289', 'a296', 'a471', 'a558', 'a595', 'a626', 'a651', 'a756', 'a825', 'a864', 'a895', 'a899']
['a68', 'a93', 'a211', 'a246', 'a271', 'a319', 'a355', 'a368', 'a415', 'a423', 'a447', 'a580', 'a649', 'a881', 'a892']
['a76', 'a123', 'a176', 'a301', 'a354', 'a387', 'a394', 'a408', 'a551', 'a554', 'a646', 'a768', 'a791', 'a863', 'a883']
['a24', 'a87', 'a124', 'a238', 'a345', 'a463', 'a477', 'a485', 'a665', 'a717', 'a772', 'a782', 'a798', 'a813', 'a839']
['a98', 'a189', 'a222', 'a254', 'a284', 'a314', 'a380', 'a562', 'a577', 'a682', 'a758', 'a823', 'a824', 'a869', 'a879']
['a61', 'a143', 'a148', 'a158', 'a236', 'a342', 'a446', 'a524', 'a570', 'a594', 'a644', 'a680', 'a743', 'a787', 'a810']
['a31', 'a85', 'a183', 'a188', 'a308', 'a377', 'a426', 'a437', 'a478', 'a578', 'a621', 'a635', 'a667', 'a686', 'a714']
['a7', 'a37', 'a191', 'a192', 'a306', 'a320', 'a338', 'a346', 'a349', 'a359', 'a409', 'a433', 'a616', 'a693', 'a873']
['a42', 'a121', 'a150', 'a157', 'a160', 'a223', 'a243', 'a293', 'a310', 'a403', 'a430', 'a500', 'a544', 'a674', 'a778']
['a73', 'a115', 'a220', 'a260', 'a357', 'a506', 'a514', 'a528', 'a605', 'a688', 'a697', 'a721', 'a748', 'a868', 'a882']
['a154', 'a185', 'a245', 'a295', 'a336', 'a383', 'a515', 'a517', 'a548', 'a556', 'a589', 'a668', 'a672', 'a733', 'a832']
['a56', 'a62', 'a199', 'a206', 'a262', 'a333', 'a369', 'a379', 'a388', 'a493', 'a520', 'a703', 'a794', 'a821', 'a851']
['a100', 'a113', 'a133', 'a165', 'a196', 'a251', 'a253', 'a294', 'a361', 'a441', 'a504', 'a573', 'a683', 'a767', 'a833']
['a34', 'a103', 'a131', 'a166', 'a348', 'a397', 'a466', 'a476', 'a513', 'a593', 'a648', 'a652', 'a718', 'a801', 'a814']
['a47', 'a58', 'a120', 'a155', 'a161', 'a218', 'a244', 'a315', 'a331', 'a670', 'a678', 'a685', 'a806', 'a876', 'a878']
['a46', 'a102', 'a112', 'a128', 'a264', 'a265', 'a280', 'a449', 'a481', 'a569', 'a647', 'a694', 'a796', 'a804', 'a870']
['a9', 'a60', 'a106', 'a231', 'a326', 'a522', 'a531', 'a592', 'a725', 'a774', 'a835', 'a843', 'a857', 'a872', 'a890']
