['s0f17k10', 's0f12k0', 's0f9k21', 's0f5k17', 's0f10k0', 's0f12k14', 's0f0k9', 's0f13k19', 's1f20k4', 's0f10k12', 's1f5k3', 's1f16k1', 's0f15k11', 's1f7k2', 's1f0k8', 's0f4k0', 's0f21k7', 's1f1k1', 's0f12k22', 's0f10k15', 's1f17k7', 's0f1k15', 's0f5k15', 's0f5k19']
['s0f18k14', 's1f12k5', 's0f14k13', 's1f11k9', 's1f12k7', 's0f7k6', 's1f2k6', 's0f3k16', 's0f17k15', 's1f12k6', 's0f13k14', 's1f3k9', 's1f18k10', 's0f10k13', 's0f19k22', 's0f8k7', 's0f7k10', 's0f16k8', 's1f5k0', 's0f21k18', 's0f16k1', 's1f14k5', 's0f1k20', 's1f0k7']
['s1f23p', 's0f20k15', 's1f5k7', 's1f8k7', 's1f4k7', 's1f8k1', 's1f5k1', 's1f5k2', 's1f5p', 's1f23k9', 's1f7p', 's1f8k0', 's0f13k8', 's1f4k8', 's1f7k5', 's1f7k6', 's1f5k8', 's1f4k2', 's1f8k5', 's1f4p', 's1f5k5', 's1f23k7', 's1f8k10', 's1f8p']
['s0f13k10', 's0f17k6', 's0f5k2', 's0f5k11', 's1f17k8', 's1f17k0', 's0f14k12', 's1f6k1', 's0f3k15', 's0f23k11', 's0f19k6', 's1f16k7', 's0f15k2', 's1f0k6', 's0f17k0', 's1f11k10', 's1f0k1', 's0f21k8', 's0f4k22', 's1f21k10', 's1f2k0', 's1f1k2', 's1f4k6', 's1f21k1']
['s1f20p', 's1f9p', 's1f21p', 's1f18p', 's1f10p', 's1f3k6', 's1f17k5', 's1f2p', 's1f13p', 's1f6p', 's1f11p', 's1f1p', 's1f13k2', 's1f17p', 's1f14p', 's1f16p', 's1f3p', 's1f16k0', 's1f22p', 's1f12k0', 's1f15p', 's1f0p', 's1f14k10', 's1f12p']
['s0f0k6', 's0f11k12', 's0f0p', 's0f0k2', 's0f6k16', 's0f0k22', 's0f5k12', 's0f0k8', 's0f10k5', 's0f0k0', 's0f0k11', 's0f0k21', 's0f0k15', 's0f9k20', 's0f20k0', 's1f2k1', 's0f0k17', 's0f0k10', 's0f0k19', 's0f14k7', 's0f0k18', 's0f0k14', 's0f12k10', 's0f12k17']
['s0f3k17', 's0f2k18', 's0f10k16', 's0f9k2', 's0f13k2', 's0f15k13', 's0f20k5', 's0f4k2', 's0f1k10', 's0f9k18', 's1f1k4', 's0f7k17', 's1f15k9', 's0f3k13', 's0f17k22', 's0f16k11', 's0f14k2', 's0f20k2', 's0f19k2', 's0f18k10', 's0f15k15', 's0f19k16', 's0f17k16', 's1f22k1']
['s0f12k6', 's0f20k11', 's1f11k3', 's0f22k4', 's0f9k3', 's0f8k11', 's1f21k8', 's1f22k4', 's1f18k6', 's0f12k15', 's1f13k10', 's0f12k18', 's1f13k9', 's0f6k12', 's0f11k14', 's1f11k0', 's0f20k13', 's1f13k4', 's0f17k8', 's0f21k6', 's0f20k20', 's1f0k3', 's1f17k3', 's0f6k10']
['s0f15k5', 's0f4k14', 's1f20k6', 's0f9k7', 's1f10k10', 's0f23k19', 's1f16k3', 's0f15k17', 's1f17k1', 's0f14k10', 's1f6k6', 's0f2k21', 's1f9k8', 's1f12k3', 's0f17k20', 's0f11k4', 's1f11k7', 's0f20k3', 's0f8k14', 's1f1k0', 's0f12k20', 's1f7k4', 's0f9k6', 's0f12k12']
['s1f20k10', 's0f5k20', 's1f20k8', 's1f4k4', 's0f22k14', 's0f20k10', 's1f16k8', 's0f14k14', 's0f19k17', 's0f18k17', 's0f17k9', 's0f1k8', 's1f15k3', 's0f15k22', 's0f3k19', 's0f2k2', 's0f7k22', 's0f16k12', 's0f2k19', 's1f10k8', 's0f19k9', 's1f21k4', 's0f1k18', 's0f8k3']
['s0f3k10', 's0f3k3', 's0f23p', 's0f23k2', 's0f3k2', 's0f23k14', 's0f6k21', 's0f3k5', 's0f23k4', 's0f3k22', 's0f3k14', 's0f3k11', 's0f3p', 's0f3k4', 's0f23k22', 's0f23k3', 's0f23k12', 's0f23k5', 's0f3k9', 's0f23k20', 's0f23k17', 's0f23k9', 's0f23k15', 's0f3k7']
['s0f10k3', 's1f10k5', 's1f20k5', 's0f8k13', 's1f22k7', 's0f1k16', 's0f13k3', 's1f3k7', 's0f9k22', 's0f5k4', 's1f13k6', 's1f10k9', 's0f6k22', 's0f17k17', 's0f22k9', 's0f18k2', 's0f7k0', 's0f13k21', 's0f10k6', 's0f6k8', 's0f8k8', 's1f9k6', 's1f7k8', 's0f23k6']
['s0f11k7', 's0f11k20', 's0f11k21', 's0f11k19', 's0f11k16', 's0f20k9', 's0f12k13', 's0f11k2', 's1f15k4', 's0f11k6', 's0f19k7', 's0f11k22', 's1f14k4', 's1f2k7', 's0f11k9', 's0f11k18', 's0f7k9', 's0f11k15', 's0f11p', 's0f11k13', 's0f11k5', 's0f11k17', 's0f11k1', 's0f11k11']
['s0f1k0', 's0f7k11', 's1f15k10', 's1f2k4', 's0f13k7', 's0f5k7', 's1f9k0', 's0f5k22', 's0f12k4', 's1f13k0', 's0f23k16', 's0f20k4', 's1f23k2', 's1f10k3', 's0f13k0', 's0f21k0', 's0f8k12', 's0f12k5', 's0f6k17', 's1f17k2', 's0f5k21', 's1f9k1', 's1f7k0', 's0f6k15']
['s1f1k6', 's0f19k11', 's1f21k6', 's1f9k2', 's1f10k2', 's0f1k13', 's0f13k13', 's0f3k20', 's0f8k0', 's0f19k18', 's0f20k22', 's0f14k16', 's0f1k12', 's1f12k2', 's1f11k6', 's1f10k0', 's0f15k3', 's0f1k1', 's0f22k13', 's0f4k12', 's0f21k17', 's0f17k3', 's0f5k1', 's1f7k9']
