['993', '922', '805']
['269', '762', '132']
['966', '316', '420']
['867', '188']
['998', '825', '182']
['187', '45', '90']
['195', '869', '156']
['509', '871', '318']
['817', '739', '60']
['404', '474', '418']
['513', '1', '527']
['495', '570', '591']
['245', '981', '21']
['244', '27', '902']
['159', '685', '892']
['650', '847', '70']
['944', '827', '782']
['504', '660', '718']
['379', '896', '335']
['820', '18', '47']
['203', '832', '48']
['53', '812', '742']
['520', '171', '611']
['79', '775', '766']
['330', '391', '217']
['120', '722', '487']
['679', '46', '610']
['904', '267', '422']
['124', '382', '973']
['460', '385', '206']
['438', '25', '558']
['406', '314', '698']
['905', '656', '284']
['836', '711', '456']
['347', '743', '52']
['428', '277', '357']
['921', '646', '959']
['798', '100', '30']
['138', '689', '525']
['65', '975', '370']
['173', '584', '190']
['273', '522', '915']
['671', '797', '28']
['653', '10', '29']
['149', '934', '687']
['873', '97', '826']
['99', '589', '459']
['512', '616', '130']
['833', '341', '177']
['214', '577', '457']
['432', '758', '125']
['694', '738', '287']
['761', '770', '751']
['991', '536', '724']
['901', '280', '523']
['279', '451', '972']
['260', '261', '953']
['647', '492', '717']
['257', '123', '377']
['626', '712', '437']
['455', '413', '407']
['223', '181', '567']
['397', '166', '837']
['441', '454', '381']
['110', '86', '41']
['248', '150', '853']
['705', '815', '669']
['816', '429', '686']
['943', '14', '227']
['745', '98', '824']
['759', '763', '617']
['587', '560', '328']
['752', '229', '532']
['243', '122', '540']
['295', '350', '101']
['322', '352', '364']
['667', '213', '2']
['453', '471', '158']
['61', '375', '841']
['221', '803', '326']
['858', '114', '903']
['970', '688', '301']
['354', '390', '488']
['426', '142', '881']
['927', '741', '980']
['511', '769', '764']
['621', '643', '104']
['170', '356', '599']
['710', '7', '477']
['529', '930', '807']
['494', '911', '526']
['230', '339']
['670', '531', '216']
['912', '298', '317']
['419', '13', '135']
['384', '435', '852']
['111', '604', '401']
['338', '226', '262']
['399', '732', '64']
['750', '378', '210']
['205', '595', '371']
['337', '576', '34']
['93', '659', '119']
['502', '416', '909']
['131', '200', '793']
['68', '463', '702']
['201', '644', '583']
['3', '926', '935']
['563', '4', '126']
['410', '209', '593']
['417', '900', '235']
['345', '333', '234']
['891', '44', '982']
['151', '133', '320']
['292', '995', '275']
['549', '256', '346']
['77', '312', '167']
['325', '518', '733']
['642', '876', '272']
['271', '872', '409']
['340', '704', '424']
['990', '208', '920']
['128', '886', '153']
['746', '720', '137']
['479', '66', '789']
['33', '606', '144']
['623', '983', '180']
['281', '906', '15']
['645', '614', '866']
['956', '184', '772']
['415', '936', '387']
['508', '8', '50']
['255', '731', '363']
['270', '311', '727']
['914', '651', '412']
['197', '105', '776']
['163', '343', '72']
['85', '95', '189']
['678', '507', '673']
['719', '799', '780']
['984', '582', '383']
['427', '854', '737']
['524', '941', '219']
['787', '682', '987']
['949', '978', '846']
['268', '818', '266']
['574', '43', '840']
['484', '879', '883']
['601', '259', '17']
['285', '115', '515']
['555', '609', '878']
['680', '784', '342']
['625', '632', '496']
['754', '918', '290']
['75', '193', '174']
['207', '691', '444']
['263', '575', '862']
['839', '76', '683']
['713', '109', '31']
['585', '389', '489']
['493', '434', '510']
['191', '38', '592']
['228', '674', '618']
['465', '179', '637']
['728', '562', '753']
['675', '194', '161']
['51', '594', '977']
['622', '6', '0']
['887', '421', '721']
['988', '251', '155']
['186', '747', '112']
['744', '49', '310']
['32', '655', '552']
['796', '948', '778']
['864', '823', '355']
['932', '639', '358']
['806', '755', '897']
['239', '468', '697']
['59', '349', '556']
['58', '777', '605']
['849', '324', '67']
['501', '822', '638']
['353', '561', '893']
['756', '597', '414']
['740', '505', '224']
['965', '237', '967']
['533', '388', '658']
['884', '999', '491']
['36', '663', '423']
['365', '108', '974']
['231', '819', '795']
['760', '559', '976']
['700', '393', '514']
['395', '917', '620']
['578', '469', '801']
['175', '543', '19']
['452', '964', '692']
['811', '376', '939']
['225', '684', '677']
['394', '411', '546']
['160', '785', '537']
['57', '564', '963']
['894', '786', '596']
['22', '296', '82']
['781', '709', '147']
['557', '289', '898']
['238', '192', '334']
['550', '729', '828']
['648', '139', '54']
['868', '215', '957']
['462', '714', '55']
['218', '499', '146']
['969', '613', '486']
['121', '829', '293']
['695', '657', '482']
['757', '997', '91']
['102', '641', '20']
['288', '183', '40']
['291', '236', '961']
['294', '707', '73']
['908', '498', '286']
['640', '164', '992']
['767', '297', '548']
